StudentID,ClassDate,Status
STU-001,2025-01-22,Present
STU-001,2025-01-24,Present
STU-001,2025-01-26,Present
STU-001,2025-01-29,Present
STU-001,2025-01-31,Present
STU-001,2025-02-02,Absent
STU-001,2025-02-05,Present
STU-001,2025-02-07,Present
STU-001,2025-02-09,Present
STU-001,2025-02-12,Present
STU-001,2025-02-14,Present
STU-001,2025-02-16,Present
STU-001,2025-02-19,Present
STU-001,2025-02-21,Present
STU-001,2025-02-23,Present
STU-001,2025-02-26,Present
STU-001,2025-02-28,Present
STU-001,2025-03-02,Present
STU-001,2025-03-05,Present
STU-001,2025-03-07,Present
STU-001,2025-03-09,Present
STU-001,2025-03-12,Present
STU-001,2025-03-14,Present
STU-001,2025-03-16,Present
STU-001,2025-03-19,Present
STU-001,2025-03-21,Present
STU-001,2025-03-23,Absent
STU-001,2025-03-26,Present
STU-001,2025-03-28,Present
STU-001,2025-03-30,Present
STU-001,2025-04-02,Present
STU-001,2025-04-04,Present
STU-001,2025-04-06,Present
STU-001,2025-04-09,Present
STU-001,2025-04-11,Present
STU-001,2025-04-13,Present
STU-002,2025-03-14,Present
STU-002,2025-03-16,Present
STU-002,2025-03-18,Present
STU-002,2025-03-21,Present
STU-002,2025-03-23,Absent
STU-002,2025-03-25,Present
STU-002,2025-03-28,Present
STU-002,2025-03-30,Present
STU-002,2025-04-01,Present
STU-002,2025-04-04,Present
STU-002,2025-04-06,Present
STU-002,2025-04-08,Present
STU-002,2025-04-11,Present
STU-002,2025-04-13,Present
STU-002,2025-04-15,Present
STU-002,2025-04-18,Absent
STU-002,2025-04-20,Present
STU-002,2025-04-22,Present
STU-002,2025-04-25,Present
STU-002,2025-04-27,Absent
STU-002,2025-04-29,Absent
STU-002,2025-05-02,Present
STU-002,2025-05-04,Present
STU-002,2025-05-06,Present
STU-002,2025-05-09,Present
STU-002,2025-05-11,Absent
STU-002,2025-05-13,Present
STU-002,2025-05-16,Present
STU-002,2025-05-18,Absent
STU-002,2025-05-20,Present
STU-002,2025-05-23,Present
STU-002,2025-05-25,Present
STU-002,2025-05-27,Present
STU-002,2025-05-30,Present
STU-002,2025-06-01,Present
STU-002,2025-06-03,Present
STU-003,2025-03-20,Present
STU-003,2025-03-22,Present
STU-003,2025-03-24,Present
STU-003,2025-03-27,Present
STU-003,2025-03-29,Present
STU-003,2025-03-31,Absent
STU-003,2025-04-03,Present
STU-003,2025-04-05,Present
STU-003,2025-04-07,Present
STU-003,2025-04-10,Present
STU-003,2025-04-12,Present
STU-003,2025-04-14,Present
STU-003,2025-04-17,Absent
STU-003,2025-04-19,Present
STU-003,2025-04-21,Present
STU-003,2025-04-24,Present
STU-003,2025-04-26,Present
STU-003,2025-04-28,Present
STU-003,2025-05-01,Present
STU-003,2025-05-03,Present
STU-003,2025-05-05,Present
STU-003,2025-05-08,Present
STU-003,2025-05-10,Present
STU-003,2025-05-12,Present
STU-003,2025-05-15,Present
STU-003,2025-05-17,Present
STU-003,2025-05-19,Present
STU-003,2025-05-22,Present
STU-003,2025-05-24,Absent
STU-003,2025-05-26,Present
STU-003,2025-05-29,Absent
STU-003,2025-05-31,Present
STU-003,2025-06-02,Present
STU-003,2025-06-05,Present
STU-003,2025-06-07,Present
STU-003,2025-06-09,Present
STU-004,2025-01-29,Absent
STU-004,2025-01-31,Present
STU-004,2025-02-02,Absent
STU-004,2025-02-05,Present
STU-004,2025-02-07,Absent
STU-004,2025-02-09,Absent
STU-004,2025-02-12,Present
STU-004,2025-02-14,Absent
STU-004,2025-02-16,Absent
STU-004,2025-02-19,Absent
STU-004,2025-02-21,Absent
STU-004,2025-02-23,Absent
STU-004,2025-02-26,Absent
STU-004,2025-02-28,Absent
STU-004,2025-03-02,Absent
STU-004,2025-03-05,Absent
STU-004,2025-03-07,Present
STU-004,2025-03-09,Present
STU-004,2025-03-12,Absent
STU-004,2025-03-14,Absent
STU-004,2025-03-16,Present
STU-004,2025-03-19,Present
STU-004,2025-03-21,Absent
STU-004,2025-03-23,Present
STU-004,2025-03-26,Present
STU-004,2025-03-28,Present
STU-004,2025-03-30,Absent
STU-004,2025-04-02,Present
STU-004,2025-04-04,Absent
STU-004,2025-04-06,Absent
STU-004,2025-04-09,Present
STU-004,2025-04-11,Absent
STU-004,2025-04-13,Present
STU-004,2025-04-16,Absent
STU-004,2025-04-18,Absent
STU-004,2025-04-20,Present
STU-005,2025-02-20,Absent
STU-005,2025-02-22,Present
STU-005,2025-02-24,Absent
STU-005,2025-02-27,Absent
STU-005,2025-03-01,Absent
STU-005,2025-03-03,Absent
STU-005,2025-03-06,Absent
STU-005,2025-03-08,Absent
STU-005,2025-03-10,Present
STU-005,2025-03-13,Absent
STU-005,2025-03-15,Present
STU-005,2025-03-17,Present
STU-005,2025-03-20,Present
STU-005,2025-03-22,Absent
STU-005,2025-03-24,Absent
STU-005,2025-03-27,Present
STU-005,2025-03-29,Absent
STU-005,2025-03-31,Absent
STU-005,2025-04-03,Present
STU-005,2025-04-05,Present
STU-005,2025-04-07,Present
STU-005,2025-04-10,Absent
STU-005,2025-04-12,Present
STU-005,2025-04-14,Absent
STU-005,2025-04-17,Present
STU-005,2025-04-19,Present
STU-005,2025-04-21,Absent
STU-005,2025-04-24,Absent
STU-005,2025-04-26,Present
STU-005,2025-04-28,Present
STU-005,2025-05-01,Present
STU-005,2025-05-03,Absent
STU-005,2025-05-05,Present
STU-005,2025-05-08,Present
STU-005,2025-05-10,Present
STU-005,2025-05-12,Absent
STU-006,2025-01-07,Present
STU-006,2025-01-09,Absent
STU-006,2025-01-11,Absent
STU-006,2025-01-14,Absent
STU-006,2025-01-16,Present
STU-006,2025-01-18,Absent
STU-006,2025-01-21,Present
STU-006,2025-01-23,Present
STU-006,2025-01-25,Present
STU-006,2025-01-28,Present
STU-006,2025-01-30,Present
STU-006,2025-02-01,Absent
STU-006,2025-02-04,Present
STU-006,2025-02-06,Present
STU-006,2025-02-08,Present
STU-006,2025-02-11,Absent
STU-006,2025-02-13,Absent
STU-006,2025-02-15,Present
STU-006,2025-02-18,Absent
STU-006,2025-02-20,Present
STU-006,2025-02-22,Absent
STU-006,2025-02-25,Present
STU-006,2025-02-27,Present
STU-006,2025-03-01,Present
STU-006,2025-03-04,Present
STU-006,2025-03-06,Absent
STU-006,2025-03-08,Present
STU-006,2025-03-11,Absent
STU-006,2025-03-13,Absent
STU-006,2025-03-15,Present
STU-006,2025-03-18,Present
STU-006,2025-03-20,Absent
STU-006,2025-03-22,Present
STU-006,2025-03-25,Present
STU-006,2025-03-27,Present
STU-006,2025-03-29,Present
STU-007,2025-01-19,Present
STU-007,2025-01-21,Present
STU-007,2025-01-23,Present
STU-007,2025-01-26,Present
STU-007,2025-01-28,Present
STU-007,2025-01-30,Absent
STU-007,2025-02-02,Present
STU-007,2025-02-04,Present
STU-007,2025-02-06,Present
STU-007,2025-02-09,Present
STU-007,2025-02-11,Present
STU-007,2025-02-13,Present
STU-007,2025-02-16,Present
STU-007,2025-02-18,Present
STU-007,2025-02-20,Present
STU-007,2025-02-23,Present
STU-007,2025-02-25,Present
STU-007,2025-02-27,Present
STU-007,2025-03-02,Present
STU-007,2025-03-04,Present
STU-007,2025-03-06,Present
STU-007,2025-03-09,Present
STU-007,2025-03-11,Present
STU-007,2025-03-13,Present
STU-007,2025-03-16,Present
STU-007,2025-03-18,Present
STU-007,2025-03-20,Present
STU-007,2025-03-23,Present
STU-007,2025-03-25,Absent
STU-007,2025-03-27,Present
STU-007,2025-03-30,Present
STU-007,2025-04-01,Present
STU-007,2025-04-03,Present
STU-007,2025-04-06,Present
STU-007,2025-04-08,Absent
STU-007,2025-04-10,Present
STU-008,2025-03-12,Present
STU-008,2025-03-14,Present
STU-008,2025-03-16,Present
STU-008,2025-03-19,Absent
STU-008,2025-03-21,Present
STU-008,2025-03-23,Present
STU-008,2025-03-26,Present
STU-008,2025-03-28,Present
STU-008,2025-03-30,Present
STU-008,2025-04-02,Present
STU-008,2025-04-04,Present
STU-008,2025-04-06,Present
STU-008,2025-04-09,Absent
STU-008,2025-04-11,Present
STU-008,2025-04-13,Present
STU-008,2025-04-16,Present
STU-008,2025-04-18,Present
STU-008,2025-04-20,Present
STU-008,2025-04-23,Absent
STU-008,2025-04-25,Present
STU-008,2025-04-27,Absent
STU-008,2025-04-30,Present
STU-008,2025-05-02,Present
STU-008,2025-05-04,Present
STU-008,2025-05-07,Present
STU-008,2025-05-09,Present
STU-008,2025-05-11,Present
STU-008,2025-05-14,Present
STU-008,2025-05-16,Present
STU-008,2025-05-18,Present
STU-008,2025-05-21,Present
STU-008,2025-05-23,Present
STU-008,2025-05-25,Present
STU-008,2025-05-28,Absent
STU-008,2025-05-30,Present
STU-008,2025-06-01,Absent
STU-009,2025-02-03,Present
STU-009,2025-02-05,Absent
STU-009,2025-02-07,Absent
STU-009,2025-02-10,Present
STU-009,2025-02-12,Present
STU-009,2025-02-14,Present
STU-009,2025-02-17,Present
STU-009,2025-02-19,Present
STU-009,2025-02-21,Present
STU-009,2025-02-24,Absent
STU-009,2025-02-26,Absent
STU-009,2025-02-28,Absent
STU-009,2025-03-03,Absent
STU-009,2025-03-05,Absent
STU-009,2025-03-07,Absent
STU-009,2025-03-10,Present
STU-009,2025-03-12,Present
STU-009,2025-03-14,Present
STU-009,2025-03-17,Absent
STU-009,2025-03-19,Present
STU-009,2025-03-21,Present
STU-009,2025-03-24,Absent
STU-009,2025-03-26,Present
STU-009,2025-03-28,Absent
STU-009,2025-03-31,Present
STU-009,2025-04-02,Absent
STU-009,2025-04-04,Absent
STU-009,2025-04-07,Absent
STU-009,2025-04-09,Absent
STU-009,2025-04-11,Absent
STU-009,2025-04-14,Absent
STU-009,2025-04-16,Present
STU-009,2025-04-18,Absent
STU-009,2025-04-21,Absent
STU-009,2025-04-23,Present
STU-009,2025-04-25,Present
STU-010,2025-03-02,Present
STU-010,2025-03-04,Present
STU-010,2025-03-06,Present
STU-010,2025-03-09,Absent
STU-010,2025-03-11,Present
STU-010,2025-03-13,Present
STU-010,2025-03-16,Present
STU-010,2025-03-18,Present
STU-010,2025-03-20,Present
STU-010,2025-03-23,Present
STU-010,2025-03-25,Present
STU-010,2025-03-27,Present
STU-010,2025-03-30,Present
STU-010,2025-04-01,Present
STU-010,2025-04-03,Present
STU-010,2025-04-06,Present
STU-010,2025-04-08,Present
STU-010,2025-04-10,Present
STU-010,2025-04-13,Present
STU-010,2025-04-15,Present
STU-010,2025-04-17,Present
STU-010,2025-04-20,Present
STU-010,2025-04-22,Present
STU-010,2025-04-24,Present
STU-010,2025-04-27,Present
STU-010,2025-04-29,Present
STU-010,2025-05-01,Present
STU-010,2025-05-04,Present
