StudentID,AmountDue,AmountPaid,PaymentDate,PaymentStatus
STU-001,15000,10500.0,2025-01-27,Partial
STU-002,8000,8000.0,2025-03-15,Paid
STU-003,8000,8000.0,2025-04-04,Paid
STU-004,15000,15000.0,2025-01-30,Paid
STU-005,5000,5000.0,2025-02-22,Paid
STU-006,6000,2700.0,2025-01-09,Partial
STU-007,6000,6000.0,2025-02-01,Paid
STU-008,8000,8000.0,2025-03-14,Paid
STU-009,12000,8600.0,2025-02-07,Partial
STU-010,5000,2900.0,2025-03-05,Partial
STU-011,15000,10700.0,2025-01-31,Partial
STU-012,8000,2800.0,2025-03-11,Partial
STU-013,12000,12000.0,2025-02-12,Paid
STU-014,6000,3600.0,2025-01-23,Partial
STU-015,5000,5000.0,2025-03-09,Paid
STU-016,8000,8000.0,2025-03-24,Paid
STU-017,12000,0.0,,Pending
STU-018,6000,0.0,,Pending
STU-019,5000,5000.0,2025-03-08,Paid
STU-020,6000,4400.0,2025-01-23,Partial
STU-021,5000,2400.0,2025-02-18,Partial
STU-022,8000,4100.0,2025-03-11,Partial
STU-023,15000,15000.0,2025-01-30,Paid
STU-024,5000,3300.0,2025-02-19,Partial
STU-025,15000,0.0,,Pending
STU-026,8000,8000.0,2025-03-06,Paid
STU-027,12000,12000.0,2025-02-18,Paid
STU-028,12000,12000.0,2025-02-20,Paid
STU-029,6000,3000.0,2025-01-23,Partial
STU-030,8000,8000.0,2025-03-11,Paid
STU-031,6000,2500.0,2025-01-29,Partial
STU-032,15000,11300.0,2025-02-13,Partial
STU-033,5000,5000.0,2025-02-24,Paid
STU-034,5000,3800.0,2025-03-03,Partial
STU-035,6000,4400.0,2025-01-22,Partial
STU-036,15000,15000.0,2025-02-11,Paid
STU-037,5000,5000.0,2025-03-02,Paid
STU-038,6000,6000.0,2025-02-02,Paid
STU-039,15000,15000.0,2025-02-12,Paid
STU-040,15000,7600.0,2025-02-06,Partial
STU-041,12000,12000.0,2025-02-17,Paid
STU-042,12000,12000.0,2025-02-15,Paid
STU-043,6000,2900.0,2025-01-16,Partial
STU-044,15000,4700.0,2025-01-18,Partial
STU-045,8000,8000.0,2025-03-13,Paid
STU-046,5000,5000.0,2025-03-04,Paid
STU-047,12000,0.0,,Pending
STU-048,5000,2300.0,2025-02-22,Partial
STU-049,6000,0.0,,Pending
STU-050,6000,3900.0,2025-01-16,Partial
STU-051,8000,8000.0,2025-04-03,Paid
STU-052,15000,15000.0,2025-02-02,Paid
STU-053,8000,5900.0,2025-03-11,Partial
STU-054,8000,5100.0,2025-03-26,Partial
STU-055,12000,12000.0,2025-02-08,Paid
STU-056,15000,0.0,,Pending
STU-057,6000,3000.0,2025-01-19,Partial
STU-058,12000,12000.0,2025-02-26,Paid
STU-059,12000,0.0,,Pending
STU-060,6000,0.0,,Pending
STU-061,15000,15000.0,2025-01-27,Paid
STU-062,12000,12000.0,2025-02-28,Paid
STU-063,6000,0.0,,Pending
STU-064,5000,5000.0,2025-02-26,Paid
STU-065,5000,0.0,,Pending
STU-066,8000,8000.0,2025-03-19,Paid
STU-067,6000,0.0,,Pending
STU-068,5000,5000.0,2025-03-06,Paid
STU-069,12000,12000.0,2025-02-05,Paid
STU-070,12000,0.0,,Pending
STU-071,6000,4100.0,2025-01-28,Partial
STU-072,12000,12000.0,2025-03-05,Paid
STU-073,15000,0.0,,Pending
STU-074,12000,12000.0,2025-02-16,Paid
STU-075,5000,5000.0,2025-02-24,Paid
STU-076,12000,6600.0,2025-02-21,Partial
STU-077,12000,4800.0,2025-02-14,Partial
STU-078,15000,15000.0,2025-02-08,Paid
STU-079,5000,5000.0,2025-03-03,Paid
STU-080,6000,3000.0,2025-01-22,Partial
STU-081,6000,0.0,,Pending
STU-082,8000,8000.0,2025-03-24,Paid
STU-083,5000,5000.0,2025-02-25,Paid
STU-084,15000,9600.0,2025-02-06,Partial
STU-085,12000,0.0,,Pending
STU-086,15000,11000.0,2025-02-08,Partial
STU-087,5000,5000.0,2025-03-04,Paid
STU-088,5000,5000.0,2025-03-02,Paid
STU-089,5000,0.0,,Pending
STU-090,8000,8000.0,2025-03-19,Paid
STU-091,12000,5000.0,2025-02-25,Partial
STU-092,15000,15000.0,2025-01-30,Paid
STU-093,6000,0.0,,Pending
STU-094,12000,5900.0,2025-02-25,Partial
STU-095,5000,5000.0,2025-02-22,Paid
STU-096,5000,5000.0,2025-02-11,Paid
STU-097,6000,6000.0,2025-02-02,Paid
STU-098,8000,0.0,,Pending
STU-099,8000,3800.0,2025-03-21,Partial
STU-100,15000,0.0,,Pending
